word,variant_forms,abreviaturas,translation_value
simpa,"['simba', 'simpa', 'čimba', 'čiŋba', 'šimba', 'šiŋba']",['s'],trenza.
simpana,"['simpana', 'čimbana']",['v'],trenzar.
sinchi,"['siŋči', 'siŋži', 'xiŋči']",['adj'],"duro, fuerte, robusto, resistente, sólido; difícil; recio, vale- roso."
sinik,['sinix'],['s'],pa.
sinka,['siŋga'],['s'],"nariz, trompa."
sinkuna,['siŋguna'],['v'],"revolcarse, rodar."
sipichi,"['sipiči', 'sipi']",['s'],amz.
sipina,['sipina'],['v'],"ajustar, estrangular, ahor- car."
sipri,['sipri'],['s'],labio inferior (ver wirpa).
sipu,"['sipu', 'tsipu']",['s'],arruga.
sipuna,"['sipuna', 'tsipuna']",['v'],"pestañar, guiñar."
sirana,['sirana'],['v'],"coser, zurcir."
sirichiy,['siričiy'],['s'],ceremonia nupcial.
siririna,['siririna'],['v'],"acostarse, echarse."
sisa,['sisa'],['s'],flor.
sisu,['sisu'],['s'],hongos de la piel.
suchuchina,['sučučina'],['v'],"retirar, apartar."
suchuna,['sučuna'],['v'],s.
sukta,"['suxta', 'sukta', 'sogta']",['num'],seis.
sukus,['sukus'],['s'],carrizo.
sullka,['sulyka'],['s'],lunes.
sumak,"['sumax', 'sumak', 'sumag', 'suma']",['adj'],"bello, bonito, lindo, precioso, delicioso, dis- tinguido."
sumakyachina,['sumakyačina'],['v'],"arreglar, componer, adornar, decorar, mejorar."
sumpu,"['sumphu', 'suŋfu']",['s'],hierba aromática del páramo.
suni,['suni'],['adj'],"largo, extenso."
sunka,['sunka'],['s'],"barba, bigote."
supay,['supay'],['s'],"espíritu, ser mítico."
